"id","part","m","int_t","target_n","beta_m","beta_s","v_sh","v_r","setup_r_a","setup_r_b","exp_t","thr"
4,7,30,0.5,352,1.79,0.0593,100,2000,200,40,4.8442435317845,5.8130922381414
4,8,30,0.5,352,1.79,0.0593,100,2000,200,40,4.8442435317845,5.8130922381414
4,9,30,0.5,352,1.79,0.0593,100,2000,200,40,4.8442435317845,5.8130922381414
4,10,30,0.5,352,1.79,0.0593,100,2000,200,40,4.8442435317845,5.8130922381414
5,1,10,0.2,788,1.79,0.0593,100,2000,200,40,14.1333494115383,16.960019293846
5,2,10,0.2,788,1.79,0.0593,100,2000,200,40,14.1333494115383,16.960019293846
5,3,10,0.2,788,1.79,0.0593,100,2000,200,40,14.1333494115383,16.960019293846
5,4,10,0.2,788,1.79,0.0593,100,2000,200,40,14.1333494115383,16.960019293846
5,5,10,0.2,788,1.79,0.0593,100,2000,200,40,14.1333494115383,16.960019293846
5,6,10,0.2,788,1.79,0.0593,100,2000,200,40,14.1333494115383,16.960019293846
5,7,10,0.2,788,1.79,0.0593,100,2000,200,40,14.1333494115383,16.960019293846
5,8,10,0.2,788,1.79,0.0593,100,2000,200,40,14.1333494115383,16.960019293846
5,9,10,0.2,788,1.79,0.0593,100,2000,200,40,14.1333494115383,16.960019293846
5,10,10,0.2,788,1.79,0.0593,100,2000,200,40,14.1333494115383,16.960019293846
6,1,30,0.2,788,1.79,0.0593,100,2000,200,40,7.37778313717943,8.85333976461532
6,2,30,0.2,788,1.79,0.0593,100,2000,200,40,7.37778313717943,8.85333976461532
6,3,30,0.2,788,1.79,0.0593,100,2000,200,40,7.37778313717943,8.85333976461532
6,4,30,0.2,788,1.79,0.0593,100,2000,200,40,7.37778313717943,8.85333976461532
6,5,30,0.2,788,1.79,0.0593,100,2000,200,40,7.37778313717943,8.85333976461532
6,6,30,0.2,788,1.79,0.0593,100,2000,200,40,7.37778313717943,8.85333976461532
6,7,30,0.2,788,1.79,0.0593,100,2000,200,40,7.37778313717943,8.85333976461532
6,8,30,0.2,788,1.79,0.0593,100,2000,200,40,7.37778313717943,8.85333976461532
6,9,30,0.2,788,1.79,0.0593,100,2000,200,40,7.37778313717943,8.85333976461532
6,10,30,0.2,788,1.79,0.0593,100,2000,200,40,7.37778313717943,8.85333976461532
7,1,10,0.5,788,1.79,0.0593,100,2000,200,40,14.1333494115383,16.960019293846
7,2,10,0.5,788,1.79,0.0593,100,2000,200,40,14.1333494115383,16.960019293846
7,3,10,0.5,788,1.79,0.0593,100,2000,200,40,14.1333494115383,16.960019293846
7,4,10,0.5,788,1.79,0.0593,100,2000,200,40,14.1333494115383,16.960019293846
7,5,10,0.5,788,1.79,0.0593,100,2000,200,40,14.1333494115383,16.960019293846
7,6,10,0.5,788,1.79,0.0593,100,2000,200,40,14.1333494115383,16.960019293846
7,7,10,0.5,788,1.79,0.0593,100,2000,200,40,14.1333494115383,16.960019293846
7,8,10,0.5,788,1.79,0.0593,100,2000,200,40,14.1333494115383,16.960019293846
7,9,10,0.5,788,1.79,0.0593,100,2000,200,40,14.1333494115383,16.960019293846
7,10,10,0.5,788,1.79,0.0593,100,2000,200,40,14.1333494115383,16.960019293846
8,1,30,0.5,788,1.79,0.0593,100,2000,200,40,7.37778313717943,8.85333976461532
8,2,30,0.5,788,1.79,0.0593,100,2000,200,40,7.37778313717943,8.85333976461532
